,District,Neighbourhood,Latitude,Longitude
0,Old Toronto,Alexandra Park,43°39′N,79°24′W
1,Old Toronto,The Annex,43°40′12″N,79°24′14″W
2,Old Toronto,Baldwin Village,43°39′22″N,79°23′36″W
3,Old Toronto,Cabbagetown,43°39′59″N,79°21′46″W
4,Old Toronto,CityPlace,43°38′24″N,79°23′43″W
5,Old Toronto,Chinatown,43°39′10″N,79°23′53″W
6,Old Toronto,Church and Wellesley,43°39′56.50″N,79°22′51.44″W
7,Old Toronto,Corktown,43°39′20″N,79°21′35″W
8,Old Toronto,Discovery District,43°39′29″N,79°23′17″W
9,Old Toronto,Distillery District,,
10,Old Toronto,The Entertainment District,,
11,Old Toronto,East Bayfront,43°38′42″N,79°21′53″W
12,Old Toronto,Fashion District,43°38′42″N,79°23′53″W
13,Old Toronto,Financial District,43°38′52.565″N,79°22′54.308″W
14,Old Toronto,Garden District,43°39′31″N,79°22′33″W
15,Old Toronto,Grange Park,43°39′11″N,79°23′35″W
16,Old Toronto,Harbord Village,43°39′40″N,79°24′22″W
17,Old Toronto,Harbourfront,43°38′17″N,79°23′06″W
18,Old Toronto,Kensington Market,43°39′17.18″N,79°24′02.44″W
19,Old Toronto,Little Japan[5],,
20,Old Toronto,Moss Park,43°39′21″N,79°22′02″W
21,Old Toronto,Old Town,43°39′05″N,79°22′04″W
22,Old Toronto,Quayside,43°38′49″N,79°21′42″W
23,Old Toronto,Queen Street West,43°38′59″N,79°23′33″W
24,Old Toronto,Regent Park,43°39′42″N,79°21′54″W
25,Old Toronto,South Core,43°38′38″N,79°22′46″W
26,Old Toronto,St. James Town,43°40′9″N,79°22′22″W
27,Old Toronto,St. Lawrence,43°38′56″N,79°22′19″W
28,Old Toronto,Toronto Islands,43°37′15″N,79°22′43″W
29,Old Toronto,Trefann Court,43°39′24″N,79°21′43″W
30,Old Toronto,University (includes Huron–Sussex),43°39′42″N,79°23′42″W
31,Old Toronto,Yorkville,43°40′13″N,79°23′28″W
32,Old Toronto,The Beaches (also known as The Beach),43°40′02″N,79°17′50″W
33,Old Toronto,East Chinatown,43°40′00″N,79°20′50″W
34,Old Toronto,East Danforth,43°41′17″N,79°18′07″W
35,Old Toronto,Gerrard Street East (Gerrard India Bazaar),43°39′52″N,79°21′24″W
36,Old Toronto,Greektown (also known as the Danforth),43°40′42.5″N,79°20′50″W
37,Old Toronto,Leslieville,43°39′43″N,79°19′55″W
38,Old Toronto,Main Square,43°41′16″N,79°18′02″W
39,Old Toronto,Playter Estates,43°40′41″N,79°21′20″W
40,Old Toronto,Port Lands,43°38′53″N,79°20′18″W
41,Old Toronto,Riverdale,43°40′04″N,79°20′59″W
42,Old Toronto,Upper Beaches,43°40′56″N,79°18′12″W
43,Old Toronto,Bedford Park,43°43′48″N,79°24′40″W
44,Old Toronto,Casa Loma,43°40′N,79°25′W
45,Old Toronto,Chaplin Estates,43°42′N,79°24′W
46,Old Toronto,Davisville Village,43°42′04″N,79°23′20″W
47,Old Toronto,Deer Park (Yonge and St. Clair),43°41′17″N,79°23′38.5″W
48,Old Toronto,Forest Hill (and Forest Hill Village),43°42′00″N,79°25′00″W
49,Old Toronto,Lawrence Park,43°43′19″N,79°23′17″W
50,Old Toronto,Lytton Park,43°43′04″N,79°24′28″W
