,District,Neighbourhood,Latitude,Longitude
0,Old Toronto,Alexandra Park,43.65,-79.4
1,Old Toronto,The Annex,43.669999999999995,-79.4038888888889
2,Old Toronto,Baldwin Village,43.65611111111111,-79.39333333333335
3,Old Toronto,Cabbagetown,43.66638888888889,-79.36277777777777
4,Old Toronto,CityPlace,43.64,-79.39527777777778
5,Old Toronto,Chinatown,43.65277777777778,-79.39805555555556
6,Old Toronto,Church and Wellesley,43.66569444444444,-79.38095555555554
7,Old Toronto,Corktown,43.65555555555555,-79.35972222222222
8,Old Toronto,Discovery District,43.658055555555556,-79.38805555555557
9,Old Toronto,Distillery District,43.6502947,-79.3595401
10,Old Toronto,The Entertainment District,43.6465862,-79.389723
11,Old Toronto,East Bayfront,43.644999999999996,-79.36472222222221
12,Old Toronto,Fashion District,43.644999999999996,-79.39805555555556
13,Old Toronto,Financial District,43.647934722222224,-79.38175222222222
14,Old Toronto,Garden District,43.65861111111111,-79.37583333333333
15,Old Toronto,Grange Park,43.653055555555554,-79.39305555555556
16,Old Toronto,Harbord Village,43.66111111111111,-79.40611111111112
17,Old Toronto,Harbourfront,43.63805555555555,-79.385
18,Old Toronto,Kensington Market,43.65477222222222,-79.40067777777779
20,Old Toronto,Moss Park,43.655833333333334,-79.36722222222221
21,Old Toronto,Old Town,43.65138888888889,-79.36777777777777
22,Old Toronto,Quayside,43.64694444444444,-79.36166666666666
23,Old Toronto,Queen Street West,43.64972222222222,-79.39250000000001
24,Old Toronto,Regent Park,43.66166666666666,-79.365
25,Old Toronto,South Core,43.64388888888889,-79.37944444444443
26,Old Toronto,St. James Town,43.66916666666666,-79.37277777777777
27,Old Toronto,St. Lawrence,43.64888888888889,-79.37194444444444
28,Old Toronto,Toronto Islands,43.62083333333334,-79.3786111111111
29,Old Toronto,Trefann Court,43.656666666666666,-79.36194444444443
30,Old Toronto,University (includes Huron–Sussex),43.66166666666666,-79.39500000000001
31,Old Toronto,Yorkville,43.67027777777778,-79.39111111111112
32,Old Toronto,The Beaches (also known as The Beach),43.66722222222222,-79.29722222222222
33,Old Toronto,East Chinatown,43.666666666666664,-79.34722222222221
34,Old Toronto,East Danforth,43.68805555555555,-79.30194444444444
35,Old Toronto,Gerrard Street East (Gerrard India Bazaar),43.66444444444444,-79.35666666666665
36,Old Toronto,Greektown (also known as the Danforth),43.67847222222222,-79.34722222222221
37,Old Toronto,Leslieville,43.661944444444444,-79.33194444444445
38,Old Toronto,Main Square,43.687777777777775,-79.30055555555555
39,Old Toronto,Playter Estates,43.67805555555555,-79.35555555555555
40,Old Toronto,Port Lands,43.64805555555556,-79.33833333333332
41,Old Toronto,Riverdale,43.66777777777777,-79.34972222222221
42,Old Toronto,Upper Beaches,43.68222222222222,-79.30333333333333
43,Old Toronto,Bedford Park,43.730000000000004,-79.41111111111111
44,Old Toronto,Casa Loma,43.666666666666664,-79.41666666666667
45,Old Toronto,Chaplin Estates,43.7,-79.4
46,Old Toronto,Davisville Village,43.70111111111111,-79.3888888888889
47,Old Toronto,Deer Park (Yonge and St. Clair),43.68805555555555,-79.39402777777778
48,Old Toronto,Forest Hill (and Forest Hill Village),43.7,-79.41666666666667
49,Old Toronto,Lawrence Park,43.721944444444446,-79.38805555555557
50,Old Toronto,Lytton Park,43.717777777777776,-79.40777777777778
51,Old Toronto,Midtown,43.70777777777778,-79.39916666666667
52,Old Toronto,Moore Park,43.691111111111105,-79.37694444444443
53,Old Toronto,North Toronto,43.711111111111116,-79.3888888888889
54,Old Toronto,Rosedale,43.678888888888885,-79.37805555555555
55,Old Toronto,South Hill (includes Rathnelly),43.68111111111111,-79.4038888888889
56,Old Toronto,Summerhill,43.683055555555555,-79.39
57,Old Toronto,Wanless Park,43.72888888888889,-79.39194444444445
58,Old Toronto,Wychwood Park,43.67805555555555,-79.41944444444445
59,Old Toronto,Yonge–Eglinton (considered centre of Midtown Toronto),43.70666666666667,-79.39833333333334
60,Old Toronto,Beaconsfield Village,43.65,-79.43555555555555
61,Old Toronto,Bloor West Village,43.65083333333333,-79.4775
62,Old Toronto,Bracondale Hill,43.67611111111111,-79.42444444444445
63,Old Toronto,Brockton Village,43.65,-79.43555555555555
64,Old Toronto,Carleton Village,43.67194444444444,-79.45694444444445
65,Old Toronto,Corso Italia,43.676944444444445,-79.44694444444445
66,Old Toronto,Davenport,43.67305555555555,-79.42805555555556
67,Old Toronto,Dovercourt Park,43.665,-79.43194444444445
68,Old Toronto,Dufferin Grove,43.65694444444444,-79.42805555555556
69,Old Toronto,Earlscourt,43.67805555555555,-79.44888888888889
70,Old Toronto,Fort York,43.638888888888886,-79.405
71,Old Toronto,High Park,43.65611111111111,-79.47500000000001
72,Old Toronto,The Junction (formerly West Toronto; a small section also contains Little Malta),43.66555555555556,-79.46444444444445
73,Old Toronto,Junction Triangle,43.65888888888889,-79.44611111111111
74,Old Toronto,Koreatown,43.66444444444444,-79.41305555555556
75,Old Toronto,Liberty Village,43.636944444444445,-79.42194444444445
76,Old Toronto,Little Italy,43.655,-79.41305555555556
77,Old Toronto,Little Portugal,43.65,-79.43555555555555
78,Old Toronto,Little Tibet,43.6389445,-79.4273119
79,Old Toronto,Mirvish Village,43.65833333333333,-79.41666666666667
80,Old Toronto,Niagara,43.643055555555556,-79.40805555555556
81,Old Toronto,Palmerston,43.65833333333333,-79.41666666666667
82,Old Toronto,Parkdale,43.64055555555556,-79.43666666666667
83,Old Toronto,Queen Street West,43.64972222222222,-79.39250000000001
84,Old Toronto,Roncesvalles,43.64611111111111,-79.44916666666667
85,Old Toronto,Runnymede,43.659444444444446,-79.48388888888888
86,Old Toronto,Seaton Village,43.668055555555554,-79.41611111111112
87,Old Toronto,Swansea,43.64388888888889,-79.47777777777777
88,Old Toronto,Trinity–Bellwoods,43.635555555555555,-79.40138888888889
89,Old Toronto,Wallace Emerson,43.66305555555555,-79.44111111111111
90,East York,Broadview North,43.693305555555554,-79.31583333333333
91,East York,Crescent Town,43.69583333333333,-79.29305555555555
92,East York,East Danforth,43.68805555555555,-79.30194444444444
93,East York,Pape Village,43.6875,-79.34777777777778
94,East York,Woodbine Heights,43.693305555555554,-79.31583333333333
95,East York,Bermondsey,43.69555555555555,-79.45
96,East York,Governor's Bridge,43.691111111111105,-79.36611111111111
97,East York,Leaside,43.7,-79.36666666666666
98,East York,O'Connor–Parkview,43.705555555555556,-79.31277777777777
99,East York,Thorncliffe Park,43.70472222222222,-79.34638888888888
100,Etobicoke,Alderwood,43.6075,-79.54027777777777
101,Etobicoke,Centennial Park,43.66138888888889,-79.57083333333333
102,Etobicoke,Clairville,43.75,-79.6388888888889
103,Etobicoke,Eatonville (Etobicoke West Mall),43.638888888888886,-79.54777777777778
104,Etobicoke,The Elms,43.713055555555556,-79.5611111111111
105,Etobicoke,Eringate,43.66138888888889,-79.57083333333333
106,Etobicoke,Humber Bay,43.63027777777778,-79.48416666666667
107,Etobicoke,Humber Heights – Westmount,43.697222222222216,-79.52583333333334
108,Etobicoke,Humber Valley Village,43.67166666666667,-79.51444444444445
109,Etobicoke,Humberwood,43.722525,-79.5460241478979
110,Etobicoke,Islington–City Centre West,43.64861111111111,-79.5286111111111
111,Etobicoke,Kingsview Village (The Westway),43.69444444444444,-79.5586111111111
112,Etobicoke,The Kingsway,43.6475,-79.51138888888889
113,Etobicoke,Long Branch,43.59138888888889,-79.5325
114,Etobicoke,Markland Wood,43.632222222222225,-79.575
115,Etobicoke,Mimico,43.61277777777778,-79.49416666666667
116,Etobicoke,New Toronto,43.60055555555556,-79.50527777777778
117,Etobicoke,Princess Gardens,43.67027777777778,-79.5411111111111
118,Etobicoke,Rexdale,43.721944444444446,-79.57194444444444
119,Etobicoke,Richview,43.67722222222222,-79.55083333333333
120,Etobicoke,Smithfield,43.73972222222222,-79.58027777777778
121,Etobicoke,Stonegate-Queensway,43.63027777777778,-79.48416666666667
122,Etobicoke,Sunnylea,43.63027777777778,-79.48416666666667
123,Etobicoke,Thistletown,43.73722222222222,-79.56527777777778
124,Etobicoke,Thorncrest Village,43.663888888888884,-79.53833333333333
125,Etobicoke,West Humber-Clairville,43.75,-79.6388888888889
126,Etobicoke,West Deane Park,43.66138888888889,-79.57083333333333
127,Etobicoke,Willowridge,43.67722222222222,-79.55083333333333
128,North York,Amesbury,43.70055555555556,-79.49027777777778
129,North York,Armour Heights,43.74305555555556,-79.42888888888889
130,North York,Bathurst Manor,43.76277777777778,-79.45694444444445
131,North York,Bayview Village,43.776944444444446,-79.37888888888888
132,North York,Bayview Woods – Steeles,43.79694444444444,-79.38305555555554
133,North York,Bermondsey,43.69555555555555,-79.45
134,North York,Black Creek,43.757222222222225,-79.51777777777778
135,North York,The Bridle Path,43.735,-79.37333333333332
136,North York,Clanton Park (Wilson Heights),43.75,-79.45
137,North York,Don Mills,43.73722222222222,-79.34333333333333
138,North York,Don Valley Village,43.78333333333333,-79.35138888888888
139,North York,Downsview,43.73222222222223,-79.49333333333334
140,North York,Flemingdon Park,43.71944444444445,-79.33888888888889
141,North York,Glen Park,43.70805555555556,-79.44805555555556
142,North York,Henry Farm,43.769999999999996,-79.35194444444444
143,North York,Hillcrest Village,43.8,-79.35888888888888
144,North York,Hoggs Hollow,43.73888888888889,-79.4
145,North York,Humber Summit,43.75694444444444,-79.57194444444444
146,North York,Humbermede (Emery),43.746297222222225,-79.5411861111111
147,North York,Jane and Finch (University Heights; Elia),43.757222222222225,-79.51777777777778
148,North York,Lansing,43.75694444444444,-79.41694444444445
149,North York,Lawrence Heights,43.71888888888889,-79.45
150,North York,Lawrence Manor,43.725,-79.43694444444445
151,North York,Ledbury Park,43.72888888888889,-79.4238888888889
152,North York,Maple Leaf,43.713055555555556,-79.4888888888889
153,North York,Newtonbrook,43.78333333333333,-79.41666666666667
154,North York,North York City Centre,43.76888888888889,-79.41305555555556
155,North York,Parkway Forest,43.77222222222222,-79.34277777777777
156,North York,Parkwoods,43.75111111111111,-79.32305555555556
157,North York,The Peanut,43.78333333333333,-79.35138888888888
158,North York,Pelmo Park – Humberlea,43.71666666666667,-79.52777777777777
159,North York,Pleasant View,43.786944444444444,-79.335
160,North York,Uptown Toronto,43.72638888888889,-79.40277777777779
161,North York,Victoria Village,43.73555555555556,-79.3125
162,North York,Westminster–Branson,43.65611111111111,-79.47500000000001
163,North York,Willowdale,43.78722222222222,-79.42944444444444
164,North York,York Mills,43.74305555555556,-79.40666666666667
165,North York,York University Heights (Village at York),43.761944444444445,-79.5
166,Scarborough,Agincourt,43.7925,-79.28388888888888
167,Scarborough,Armadale,43.83722222222222,-79.25805555555556
168,Scarborough,Bendale (Cedarbrae),43.766666666666666,-79.23333333333333
169,Scarborough,Birch Cliff,43.6875,-79.26944444444445
170,Scarborough, Birch Cliff Heights,43.6875,-79.26944444444445
171,Scarborough,Brown's Corners (historical),43.81222222222222,-79.24666666666667
172,Scarborough,Clairlea,43.709722222222226,-79.29083333333332
173,Scarborough,Cliffside,43.711111111111116,-79.24805555555555
174,Scarborough,Cliffcrest,43.721944444444446,-79.23111111111112
175,Scarborough,Dorset Park,43.765277777777776,-79.28111111111112
176,Scarborough,Eglinton East,43.74,-79.2461111111111
177,Scarborough,Golden Mile,43.72555555555556,-79.29722222222222
178,Scarborough,Guildwood,43.7475,-79.19944444444445
179,Scarborough,Highland Creek,43.78916666666667,-79.17472222222223
180,Scarborough,Ionview,43.731388888888894,-79.27111111111111
181,Scarborough,L'Amoreaux,43.794444444444444,-79.32583333333334
182,Scarborough,Malvern,43.81166666666666,-79.23111111111112
183,Scarborough,Maryvale,43.74305555555556,-79.30444444444444
184,Scarborough,Milliken,43.825833333333335,-79.30083333333333
185,Scarborough,Morningside,43.786944444444444,-79.20611111111111
186,Scarborough,Morningside Heights,43.82,-79.21833333333333
187,Scarborough,Oakridge,43.69555555555555,-79.27583333333334
188,Scarborough,Port Union (Centennial Scarborough),43.778888888888886,-79.13416666666667
189,Scarborough,Rouge,43.82083333333334,-79.20611111111111
190,Scarborough,Scarborough City Centre,43.772777777777776,-79.2575
191,Scarborough,Scarborough Junction,43.71666666666667,-79.25972222222222
192,Scarborough,Scarborough Village,43.74305555555556,-79.21888888888888
193,Scarborough,Steeles,43.8161778,-79.3145378
194,Scarborough,Tam O'Shanter – Sullivan,43.78805555555555,-79.30138888888888
195,Scarborough,West Hill,43.76833333333333,-79.18611111111112
196,Scarborough,West Rouge,43.78527777777778,-79.12583333333333
197,Scarborough,Wexford,43.74305555555556,-79.30444444444444
198,Scarborough,Woburn,43.766666666666666,-79.22777777777777
199,York,Baby Point,43.6575,-79.4925
200,York,Briar Hill–Belgravia,43.69555555555555,-79.45
201,York,Eglinton West (Little Jamaica),43.69444444444444,-79.45527777777778
202,York,Fairbank (Caledonia–Fairbank),43.69555555555555,-79.45
203,York,Humewood–Cedarvale,43.691111111111105,-79.42583333333334
204,York,Lambton,43.6575,-79.4925
205,York,Mount Dennis,43.69198333333333,-79.5062138888889
206,York,Oakwood–Vaughan (Oakwood Village; Five Points; Northcliffe),43.692499999999995,-79.44083333333333
207,York,Old Mill,43.65222222222222,-79.48916666666666
208,York,Rockcliffe–Smythe,43.67527777777777,-79.48861111111111
209,York,Silverthorn (Keelesdale),43.69,-79.47611111111111
210,York,Tichester,43.689722222222215,-79.47805555555556
211,York,Weston,43.700988888888894,-79.5197
